#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2020 08 01 22 20 360  5.7  6.2 99.00 99.00 99.00 999 9999.0  23.2 999.0  20.7 99.0 99.00
2020 08 01 22 30 360  6.2  6.7 99.00 99.00 99.00 999 9999.0  23.0 999.0  21.0 99.0 99.00
2020 08 01 22 40 360  6.2  7.2 99.00 99.00 99.00 999 9999.0  23.0 999.0  21.0 99.0 99.00
2020 08 01 22 50  10  6.2  7.2 99.00 99.00 99.00 999 9999.0  22.9 999.0  20.6 99.0 99.00
2020 08 01 23 00  10  6.2  6.2 99.00 99.00 99.00 999 9999.0  23.0 999.0  20.4 99.0 99.00
2020 08 01 23 10 360  6.2  6.7 99.00 99.00 99.00 999 9999.0  22.9 999.0  20.1 99.0 99.00
2020 08 01 23 20  10  5.7  6.2 99.00 99.00 99.00 999 9999.0  23.0 999.0  19.8 99.0 99.00
2020 08 01 23 30  10  5.7  6.2 99.00 99.00 99.00 999 9999.0  23.0 999.0  19.8 99.0 99.00
2020 08 01 23 40  10  5.7  6.2 99.00 99.00 99.00 999 9999.0  23.0 999.0  20.0 99.0 99.00
2020 08 01 23 50  20  6.2  6.7 99.00 99.00 99.00 999 9999.0  23.0 999.0  18.9 99.0 99.00
2020 08 02 00 00  20  6.2  6.7 99.00 99.00 99.00 999 9999.0  23.0 999.0  18.9 99.0 99.00
2020 08 02 00 10  20  5.7  6.2 99.00 99.00 99.00 999 9999.0  23.0 999.0  19.3 99.0 99.00
2020 08 02 00 20  30  5.7  6.2 99.00 99.00 99.00 999 9999.0  22.9 999.0  19.1 99.0 99.00
2020 08 02 00 30  20  5.7  6.2 99.00 99.00 99.00 999 9999.0  23.0 999.0  19.1 99.0 99.00
2020 08 02 00 40  30  5.7  6.2 99.00 99.00 99.00 999 9999.0  23.1 999.0  18.6 99.0 99.00
2020 08 02 00 50  20  6.2  6.7 99.00 99.00 99.00 999 9999.0  23.1 999.0  18.6 99.0 99.00
2020 08 02 01 00  20  6.7  7.2 99.00 99.00 99.00 999 9999.0  23.2 999.0  18.7 99.0 99.00
2020 08 02 01 10  30  6.2  6.7 99.00 99.00 99.00 999 9999.0  23.3 999.0  18.0 99.0 99.00
2020 08 02 01 20  20  5.1  5.7 99.00 99.00 99.00 999 9999.0  23.1 999.0  19.6 99.0 99.00
2020 08 02 01 30  20  5.1  5.1 99.00 99.00 99.00 999 9999.0  23.2 999.0  19.5 99.0 99.00
2020 08 02 01 40  10  5.7  6.2 99.00 99.00 99.00 999 9999.0  23.3 999.0  18.9 99.0 99.00
2020 08 02 01 50  20  5.1  5.7 99.00 99.00 99.00 999 9999.0  23.3 999.0  19.1 99.0 99.00
2020 08 02 02 00  10  5.1  5.7 99.00 99.00 99.00 999 9999.0  23.2 999.0  19.5 99.0 99.00
2020 08 02 02 10  10  5.1  5.7 99.00 99.00 99.00 999 9999.0  23.2 999.0  19.4 99.0 99.00
2020 08 02 02 20  10  5.1  5.7 99.00 99.00 99.00 999 9999.0  23.2 999.0  19.5 99.0 99.00
2020 08 02 02 30  10  5.1  5.7 99.00 99.00 99.00 999 9999.0  23.1 999.0  19.6 99.0 99.00
2020 08 02 02 40  10  4.6  5.1 99.00 99.00 99.00 999 9999.0  23.0 999.0  19.6 99.0 99.00
2020 08 02 02 50  20  4.6  5.1 99.00 99.00 99.00 999 9999.0  23.0 999.0  18.6 99.0 99.00
2020 08 02 03 00  30  4.1  4.6 99.00 99.00 99.00 999 9999.0  23.1 999.0  17.7 99.0 99.00
2020 08 02 03 10  30  4.6  5.1 99.00 99.00 99.00 999 9999.0  23.1 999.0  17.5 99.0 99.00
2020 08 02 03 20  30  4.6  4.6 99.00 99.00 99.00 999 9999.0  22.9 999.0  17.2 99.0 99.00
2020 08 02 03 30  40  4.1  5.7 99.00 99.00 99.00 999 9999.0  22.6 999.0  17.3 99.0 99.00
2020 08 02 03 40  50  3.6  4.1 99.00 99.00 99.00 999 9999.0  22.3 999.0  15.6 99.0 99.00
2020 08 02 03 50  80  2.6  3.1 99.00 99.00 99.00 999 9999.0  21.9 999.0  16.2 99.0 99.00
2020 08 02 04 00  80  2.1  2.6 99.00 99.00 99.00 999 9999.0  21.6 999.0  17.1 99.0 99.00
2020 08 02 04 10  70  4.1  4.6 99.00 99.00 99.00 999 9999.0  21.1 999.0  17.0 99.0 99.00
2020 08 02 04 20  60  4.1  4.6 99.00 99.00 99.00 999 9999.0  20.6 999.0  17.8 99.0 99.00
2020 08 02 04 30  80  3.1  3.6 99.00 99.00 99.00 999 9999.0  20.7 999.0  18.5 99.0 99.00
2020 08 02 04 40  70  3.6  4.6 99.00 99.00 99.00 999 9999.0  20.5 999.0  17.3 99.0 99.00
2020 08 02 04 50  70  3.1  3.6 99.00 99.00 99.00 999 9999.0  20.4 999.0  18.2 99.0 99.00
2020 08 02 05 10  40  3.1  3.6 99.00 99.00 99.00 999 9999.0  20.4 999.0  17.5 99.0 99.00
2020 08 02 05 20  20  3.1  4.1 99.00 99.00 99.00 999 9999.0  20.5 999.0  17.5 99.0 99.00
2020 08 02 05 30  50  3.1  3.6 99.00 99.00 99.00 999 9999.0  20.2 999.0  17.0 99.0 99.00
2020 08 02 05 40  70  1.5  2.1 99.00 99.00 99.00 999 9999.0  19.9 999.0  17.6 99.0 99.00
2020 08 02 05 50  50  2.1  2.6 99.00 99.00 99.00 999 9999.0  19.8 999.0  17.0 99.0 99.00
2020 08 02 06 00  80  2.1  2.6 99.00 99.00 99.00 999 9999.0  19.6 999.0  17.2 99.0 99.00
2020 08 02 06 10 100  1.5  1.5 99.00 99.00 99.00 999 9999.0  19.4 999.0  17.3 99.0 99.00
2020 08 02 06 20 120  0.5  1.0 99.00 99.00 99.00 999 9999.0  19.2 999.0  17.4 99.0 99.00
2020 08 02 06 30 170  0.5  0.5 99.00 99.00 99.00 999 9999.0  19.1 999.0  17.5 99.0 99.00
2020 08 02 06 40 190  0.5  1.0 99.00 99.00 99.00 999 9999.0  19.3 999.0  17.5 99.0 99.00
2020 08 02 06 50 240  1.0  1.0 99.00 99.00 99.00 999 9999.0  19.5 999.0  17.6 99.0 99.00
2020 08 02 07 00 260  0.5  1.0 99.00 99.00 99.00 999 9999.0  19.5 999.0  17.8 99.0 99.00
2020 08 02 07 10 250  1.0  1.5 99.00 99.00 99.00 999 9999.0  19.5 999.0  17.8 99.0 99.00
2020 08 02 07 20 250  1.5  1.5 99.00 99.00 99.00 999 9999.0  19.5 999.0  18.0 99.0 99.00
2020 08 02 07 30 250  2.1  2.6 99.00 99.00 99.00 999 9999.0  19.6 999.0  18.4 99.0 99.00
2020 08 02 07 40 270  3.1  3.6 99.00 99.00 99.00 999 9999.0  19.6 999.0  18.8 99.0 99.00
2020 08 02 07 50 260  4.6  4.6 99.00 99.00 99.00 999 9999.0  19.8 999.0  19.9 99.0 99.00
2020 08 02 08 00 260  5.1  5.7 99.00 99.00 99.00 999 9999.0  19.8 999.0  19.9 99.0 99.00
2020 08 02 08 10 250  4.6  4.6 99.00 99.00 99.00 999 9999.0  19.9 999.0  19.9 99.0 99.00
2020 08 02 08 20 260  4.1  5.1 99.00 99.00 99.00 999 9999.0  20.1 999.0  19.8 99.0 99.00
2020 08 02 08 30 260  4.1  4.6 99.00 99.00 99.00 999 9999.0  20.1 999.0  19.6 99.0 99.00
2020 08 02 08 40 270  5.7  5.7 99.00 99.00 99.00 999 9999.0  20.0 999.0  19.5 99.0 99.00
2020 08 02 08 50 250  5.7  6.7 99.00 99.00 99.00 999 9999.0  20.0 999.0  19.4 99.0 99.00
2020 08 02 09 00 250  6.7  7.2 99.00 99.00 99.00 999 9999.0  20.2 999.0  18.9 99.0 99.00
2020 08 02 09 10 250  7.7  8.8 99.00 99.00 99.00 999 9999.0  20.4 999.0  18.7 99.0 99.00
2020 08 02 09 20 250  8.2  8.8 99.00 99.00 99.00 999 9999.0  20.3 999.0  18.6 99.0 99.00
2020 08 02 09 30 240  7.7  8.8 99.00 99.00 99.00 999 9999.0  20.7 999.0  18.9 99.0 99.00
2020 08 02 09 40 240  7.2  8.2 99.00 99.00 99.00 999 9999.0  20.6 999.0  19.1 99.0 99.00
2020 08 02 09 50 240  6.2  7.2 99.00 99.00 99.00 999 9999.0  20.6 999.0  19.0 99.0 99.00
2020 08 02 10 00 250  6.7  7.2 99.00 99.00 99.00 999 9999.0  20.7 999.0  19.1 99.0 99.00
2020 08 02 10 10 250  7.7  8.8 99.00 99.00 99.00 999 9999.0  20.6 999.0  19.1 99.0 99.00
2020 08 02 10 20 260  8.2  9.3 99.00 99.00 99.00 999 9999.0  20.5 999.0  19.3 99.0 99.00
2020 08 02 10 30 260  8.2  9.3 99.00 99.00 99.00 999 9999.0  20.3 999.0  19.5 99.0 99.00
2020 08 02 10 40 260  8.8  9.3 99.00 99.00 99.00 999 9999.0  20.2 999.0  19.7 99.0 99.00
2020 08 02 10 50 260  8.2  9.3 99.00 99.00 99.00 999 9999.0  20.2 999.0  19.7 99.0 99.00
2020 08 02 11 00 260  8.2  9.3 99.00 99.00 99.00 999 9999.0  20.3 999.0  19.8 99.0 99.00
2020 08 02 11 10 260  8.2  8.8 99.00 99.00 99.00 999 9999.0  20.4 999.0  19.8 99.0 99.00
2020 08 02 11 20 260  8.2  8.8 99.00 99.00 99.00 999 9999.0  20.6 999.0  19.8 99.0 99.00
2020 08 02 11 30 260  8.2  9.8 99.00 99.00 99.00 999 9999.0  20.4 999.0  19.7 99.0 99.00
2020 08 02 11 40 260  8.8  9.3 99.00 99.00 99.00 999 9999.0  20.3 999.0  19.7 99.0 99.00
2020 08 02 11 50 260  8.2  8.8 99.00 99.00 99.00 999 9999.0  20.2 999.0  19.8 99.0 99.00
2020 08 02 12 00 260  7.2  8.2 99.00 99.00 99.00 999 9999.0  20.3 999.0  19.8 99.0 99.00
2020 08 02 12 10 260  7.2  8.2 99.00 99.00 99.00 999 9999.0  20.3 999.0  19.9 99.0 99.00
2020 08 02 12 20 260  7.2  7.2 99.00 99.00 99.00 999 9999.0  20.3 999.0  19.9 99.0 99.00
2020 08 02 12 30 260  6.7  7.7 99.00 99.00 99.00 999 9999.0  20.4 999.0  20.0 99.0 99.00
2020 08 02 12 40 260  7.2  7.7 99.00 99.00 99.00 999 9999.0  20.6 999.0  20.0 99.0 99.00
2020 08 02 12 50 270  7.7  7.7 99.00 99.00 99.00 999 9999.0  20.8 999.0  19.8 99.0 99.00
2020 08 02 13 00 270  6.7  7.2 99.00 99.00 99.00 999 9999.0  20.8 999.0  19.8 99.0 99.00
2020 08 02 13 10 270  6.2  6.2 99.00 99.00 99.00 999 9999.0  21.0 999.0  19.7 99.0 99.00
2020 08 02 13 20 270  5.7  6.2 99.00 99.00 99.00 999 9999.0  21.1 999.0  19.7 99.0 99.00
2020 08 02 13 30 270  5.7  5.7 99.00 99.00 99.00 999 9999.0  21.1 999.0  19.9 99.0 99.00
2020 08 02 13 40 270  5.7  6.2 99.00 99.00 99.00 999 9999.0  21.3 999.0  20.1 99.0 99.00
2020 08 02 13 50 280  5.7  5.7 99.00 99.00 99.00 999 9999.0  21.5 999.0  20.0 99.0 99.00
2020 08 02 14 00 280  5.1  5.7 99.00 99.00 99.00 999 9999.0  21.7 999.0  19.6 99.0 99.00
2020 08 02 14 10 280  4.6  5.1 99.00 99.00 99.00 999 9999.0  21.9 999.0  19.7 99.0 99.00
